SSN,DoB,Gender,FirstName,MiddleName,LastName,EyeColor,StreetAddress,CityName,State,ZipCode,CountryCode,PhoneNumber,EmailAddress,DriverNumber,DriverState,DriverExpiry,Latitude,Longitude,IsVeteran,HasLienRecord,HasBankruptcyRecord,HasArrestRecord,HasCriminalRecord
631-35-2155,1952-12-16,Male,George,Eddie,Blowers,Gray,3 City Boulevard,Borough Of Queens,NY,10865,US,501-570-1349,george5231@gmail.com,914-315-628,NY,2021-09-16,40.6630423981436,-73.8530273181437,True,False,False,True,True
212-20-1960,1953-03-20,Female,Mildred,J.,Rall,Blue,876 Park Avenue,Borough of Queens,NY,13328,US,865-574-9700,mildred.rall@hotmail.com,805-932-605,NY,2021-09-08,40.6692732308021,-73.8615112095714,False,True,False,False,False
830-43-6613,1968-07-10,Female,Lisa,Fanny,Mazzola,Hazel,2022 Cross Avenue,Borough of Queens,NY,14363,US,378-569-4135,lisa2499@hotmail.com,814-575-345,NY,2017-07-16,40.5908619589447,-73.9124602924976,False,False,False,False,False
490-96-0357,1947-04-07,Male,Hector,Kevin,Lawless,Blue,26 Division Street,Borough Of Queens,NY,12800,US,814-265-9978,HectorLawless47@aol.com,425-722-574,NY,2020-04-05,40.6389559542121,-73.7597776350457,True,False,False,False,False
543-78-0139,1956-02-08,Male,Louis,J.,Overend,Green,3908 Chestnut Avenue,Borough of Queens,NY,10259,US,402-780-9918,LouisOverend56@outbox.com,494-525-155,NY,2021-11-06,40.6129694145987,-73.851505362367,False,False,False,False,False
121-38-6778,1969-11-20,Male,Ian,Charles,Burns,Hazel,2132 Main Avenue,Borough of Queens,NY,11335,US,184-960-7272,IanBurns69@aol.com,878-532-813,NY,2022-11-17,40.6816871522061,-73.8363789883065,False,True,False,False,False
116-20-6014,1962-11-19,Female,Amy,M.,Whitley,Blue,137 Link Boulevard,Borough of Queens,NY,14960,US,358-389-4942,AmyWhitley62@gmail.com,886-789-119,NY,2023-05-26,40.6836227628615,-73.885293934961,False,False,False,False,False
204-03-6264,1968-09-11,Male,David,L.,Jiggens,Gray,3 Chase Drive,Borough of Queens,NY,13156,US,890-800-4365,DavidJiggens68@yahoo.com,825-696-196,NY,2016-12-23,40.7016630288532,-73.8711993391812,False,True,False,False,False
597-22-3373,1961-03-30,Male,Franklin,M.,McKenzie,Gray,15 Twelfth Street,Brooklyn,NY,10263,US,202-965-6062,FranklinMcKenzie61@yahoo.com,337-693-031,NY,2021-04-28,40.7261767862622,-74.0483541350344,True,True,False,False,False
772-39-4630,1960-03-14,Female,Barbara,M.,Roe,Blue,1017 Chambers Avenue,Brooklyn,NY,10795,US,315-161-4825,BarbaraRoe60@gmail.com,550-941-283,NY,2022-01-27,40.6315020282824,-74.0562031805253,False,False,False,False,False
890-70-5085,1968-06-22,Female,Myrtle,J.,Klemm,Brown,92 First Boulevard,Brooklyn,NY,14950,US,887-257-1971,MyrtleKlemm68@gmail.com,752-393-179,NY,2020-08-23,40.5785398072563,-73.9940090098673,False,True,False,False,False
034-01-2522,1953-10-15,Male,Charles,,Cooper,Hazel,4 Beach Street,New York City,NY,14543,US,698-619-5488,charles8929@hotmail.com,478-692-660,NY,2022-06-21,40.5169470896239,-74.0698317469684,True,False,False,False,False
518-56-1199,1968-09-25,Female,Teresa,Elizabeth,Lear,Green,810 Park Avenue,New York City,NY,11633,US,349-448-7307,teresa9757@mail.com,250-944-608,NY,2022-08-22,40.7123046536111,-74.0219254013408,False,False,False,False,False
389-63-6262,1959-04-09,Female,Nancy,,Villegas,Hazel,9246 Mill Avenue,Borough of Queens,NY,11437,US,970-132-0053,NancyVillegas59@yahoo.com,173-821-774,NY,2022-10-08,40.6821206070538,-73.8385850169932,False,True,False,False,False
893-68-8793,1932-10-18,Male,Edward,Samuel,Morgan,Blue,2 Main Avenue,Borough Of Queens,NY,12888,US,276-102-9200,EdwardMorgan32@hotmail.com,959-272-653,NY,2019-11-26,40.695803054063,-73.7092491881317,False,False,False,False,False
177-95-9067,1953-10-14,Male,Richard,Robert,Martinez,Green,14 Forest Avenue,Borough Of Queens,NY,14837,US,822-173-5781,richard3778@yahoo.com,643-096-455,NY,2021-02-10,40.6426150554348,-73.9025734658396,True,False,False,False,False
847-10-9927,1959-07-08,Male,Charlie,J.,Broomhead,Green,26 Kings Boulevard,Borough of Queens,NY,12022,US,392-440-4214,charlie.broomhead@yahoo.com,729-298-328,NY,2016-07-05,40.6714100084842,-73.8757435803115,False,False,False,False,False
922-72-3692,1979-01-27,Male,Robert,Scott,Bimson,Gray,1 Park Street,Borough of Queens,NY,13727,US,596-246-0526,robert6101@gmail.com,975-489-544,NY,2020-08-05,40.7262603394117,-73.875461316134,False,False,False,False,False
769-09-0397,1964-10-15,Male,Joseph,S.,Anderson,Blue,7 Spring Drive,Borough of Queens,NY,13555,US,256-210-6777,JosephAnderson64@aol.com,267-008-220,NY,2017-06-01,40.7153905176837,-73.8326290361132,False,True,True,False,False
674-47-4559,1970-12-24,Female,Gladys,Irene,Gosden,Hazel,66 Main Avenue,Borough of Queens,NY,10963,US,185-424-3202,gladys.gosden@yahoo.com,567-899-452,NY,2022-05-26,40.7009281018738,-73.8117039435055,False,True,False,False,False
586-77-1484,1936-09-04,Male,Joseph,Graham,Webster,Blue,243 College Boulevard,Borough Of Queens,NY,12949,US,705-237-6193,JosephWebster36@hotmail.com,924-049-326,NY,2016-12-08,40.7416837646204,-73.8743816573986,True,True,False,False,False
153-56-2177,1965-12-24,Male,Patrick,Thomas,Clayson,Hazel,76 Spring Avenue,Borough of Queens,NY,11113,US,411-238-3287,patrick4240@gmail.com,444-972-863,NY,2018-07-24,40.6686713680809,-73.9087672427115,False,True,False,False,False
080-36-8440,1965-12-05,Male,James,Stanley,Martin,Green,1653 Silver Drive,Borough of Queens,NY,10160,US,576-129-7940,JamesMartin65@hotmail.com,884-053-749,NY,2017-02-13,40.6316488928369,-73.747205732762,False,False,False,False,False
894-74-0316,1956-03-23,Male,Paul,M.,Reid,Brown,8787 Birch Boulevard,New York City,NY,14592,US,338-374-0045,PaulReid56@outlook.com,841-058-665,NY,2018-06-12,40.7503473218679,-73.8062815933599,False,False,False,False,False
196-48-9708,1940-08-04,Male,Jeremiah,L.,Long,Brown,15 Green Street,New York City,NY,10644,US,806-816-2195,JeremiahLong40@outlook.com,813-140-091,NY,2017-09-19,40.6428843740573,-74.0011422014519,True,True,False,True,False
