ClaimId,ClaimantName,ClaimantSSN,ClaimantDoB,Role,VetName,VetSSN,VetDoB,ClaimFromAddress,ClaimFromLatitude,ClaimFromLongitude,FromTravelDate,FromTravelType,ClaimToAddress,ClaimToLatitude,ClaimToLongitude,ToTravelDate,ToTravelType,Mileage,ItemizedExpenses,TreatmentDate,FacilityName,FacilityAddress,FacilityLatitude,FacilityLongitude,ClaimDate
3000002,Andrew B. Somerset,834-35-1500,2/10/1957,,Andrew B. Somerset,834-35-1500,2/10/1957,"10 Walnut Ave. San Diego, CA 92154",40.67854614,-74.03745398,1/7/2016,Bus,"10 Walnut Ave. San Diego, CA 92154",40.67854614,-74.03745398,1/7/2016,Bus,5,Bus fare of $5.26,1/7/2016,ASPIRE Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,1/9/2016
3000004,Edward Wallace Esser,939-72-7694,12/26/1947,,Edward Wallace Esser,939-72-7694,12/26/1947,"10 Walnut Ave. San Diego, CA 92154",40.64065391,-74.08916448,1/7/2016,Car,"10 Walnut Ave. San Diego, CA 92154",40.64065391,-74.08916448,1/7/2016,Car,15,Mileage charge of $7.67,1/7/2016,Fort Rosecrans National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,1/9/2016
3000001,Sam J. Higton,491-41-6190,12/23/1934,,Sam J. Higton,491-41-6190,12/23/1934,"802 Logan Ave. San Diego, CA 92114",40.69988025,-73.64957038,1/5/2016,Bus,"802 Logan Ave. San Diego, CA 92114",40.69988025,-73.64957038,1/5/2016,Bus,12,Bus fare of $12.28,1/5/2016,"Intake Site At Marine Corps Air Station, Miramar","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,1/13/2016
3000006,Richard Greig Clayton,056-91-5083,10/27/1958,,Richard Greig Clayton,056-91-5083,10/27/1958,"582 E. Mayfair Ave. San Diego, CA 92154",40.65656822,-74.06035702,1/12/2016,Bus,"582 E. Mayfair Ave. San Diego, CA 92154",40.65656822,-74.06035702,1/12/2016,Bus,16,Bus fare of $16.27,1/12/2016,Intake Site At Marine Corps Recruit Depot (MCRD),"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,1/15/2016
3000007,Kyle P. Watson,701-65-9566,9/22/1957,,Kyle P. Watson,701-65-9566,9/22/1957,"766 Jefferson Ave. San Diego, CA 92154",40.43693808,-74.04628894,1/15/2016,Car,"766 Jefferson Ave. San Diego, CA 92154",40.43693808,-74.04628894,1/15/2016,Car,32,Mileage charge of $16.02; Parking fees of $12.52,1/15/2016,Intake Site At Naval Medical Center San Diego,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,1/19/2016
3000000,Brandon W. Jacob,849-40-6621,6/2/1961,,Brandon W. Jacob,849-40-6621,6/2/1961,"714 Riverside Rd. San Diego, CA 92117",40.7264965,-74.07225642,1/1/2016,Car,"714 Riverside Rd. San Diego, CA 92117",40.7264965,-74.07225642,1/1/2016,Car,22,Mileage charge of $11.10,1/1/2016,Miramar National Cemetery,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,1/22/2016
3000013,Harry D. Hammond,841-17-1820,4/12/1954,,Harry D. Hammond,841-17-1820,4/12/1954,"59 Strawberry Street San Diego, CA 92117",42.78171516,-73.95555999,1/26/2016,Bus,"59 Strawberry Street San Diego, CA 92117",42.78171516,-73.95555999,1/26/2016,Bus,9,Bus fare of $8.53,1/26/2016,Mission Valley Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,1/27/2016
3000012,Charles D. Livsey,981-89-3613,3/2/1951,,Charles D. Livsey,981-89-3613,3/2/1951,"218 Pineknoll Court San Diego, CA 92114",40.71730477,-73.96574484,1/23/2016,Car,"218 Pineknoll Court San Diego, CA 92114",40.71730477,-73.96574484,1/23/2016,Car,56,Mileage charge of $27.84; Parking fees of $10.75; Toll fees of $5.01,1/23/2016,Rio Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,1/28/2016
3000015,Vincent J. Pilkington,814-16-5195,8/12/1957,,Vincent J. Pilkington,814-16-5195,8/12/1957,"8 N. Piper St. San Diego, CA 92115",43.97848274,-75.90301427,1/29/2016,Bus,"8 N. Piper St. San Diego, CA 92115",43.97848274,-75.90301427,1/29/2016,Bus,6,Bus fare of $5.95,1/29/2016,"San Diego Regional Benefit Office, 8810 Rio San Diego Drive, San Diego, CA 92108","2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,2/2/2016
3000016,Thomas J. Kunz,452-14-6257,6/29/1945,,Thomas J. Kunz,452-14-6257,6/29/1945,"8 N. Piper St. San Diego, CA 92115",40.71667106,-73.98129431,2/1/2016,Bus,"8 N. Piper St. San Diego, CA 92115",40.71667106,-73.98129431,2/1/2016,Bus,15,Bus fare of $15.11,2/1/2016,San Diego Vet Center,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,2/3/2016
3000010,George J. Whiting,879-69-1385,8/11/1949,,George J. Whiting,879-69-1385,8/11/1949,"9470 N. Third Ave. San Diego, CA 92115",43.05099493,-76.11807746,2/1/2016,Car,"9470 N. Third Ave. San Diego, CA 92115",43.05099493,-76.11807746,2/1/2016,Car,55,Mileage charge of $27.38,2/1/2016,Sorrento Valley Clinic,"2790 Truxton Road, Suite 130, San Diego, CA 92106",40.807493,-73.94415,2/6/2016
